Brooks,Miljan,0,0,0,0,2,%20Public%20Policy%20in%20Canada.%204th%20ed.,0,0,0,0,0,0,0,0,0,0
Nevitte,Kanji,0,0,0,0,2,New%20Cleavages%2C%20Value%20Diversity%2C%20and%20Democratic%20Governance,0,0,0,0,0,0,0,0,0,0
Borrows,0,0,0,0,0,2,(Ab)Originalism%20and%20Canadas%20Constitution,0,0,0,0,0,0,0,0,0,0
Moore,0,0,0,0,0,2,1867:%20How%20the%20Fathers%20Made%20a%20Deal,0,0,0,0,0,0,0,0,0,0
Moore,0,0,0,0,0,2,1867:%20How%20the%20Fathers%20Made%20a%20Deal,0,0,0,0,0,0,0,0,0,0
Angus,0,0,0,0,0,2,A%20Border%20Within%2C%20National%20Identity%2C%20Cultural%20Plurality%20and%20Wilderness,0,0,0,0,0,0,0,0,0,0
Dufour,0,0,0,0,0,2,A%20Canadian%20Challenge:%20Le%20défi%20Québécois,0,0,0,0,0,0,0,0,0,0
Dufour,0,0,0,0,0,2,A%20Canadian%20Challenge:%20Le%20défi%20Québécois,0,0,0,0,0,0,0,0,0,0
Dacks,0,0,0,0,0,2,A%20Choice%20of%20Futures:%20Politics%20in%20the%20Canadian%20North,0,0,0,0,0,0,0,0,0,0
Smith,0,0,0,0,0,2,A%20Civil%20Society?%20Collective%20actors%20in%20Canadian%20political%20life,0,0,0,0,0,0,0,0,0,0
Smith,0,0,0,0,0,2,A%20Civil%20Society?%20Collective%20actors%20in%20Canadian%20political%20life,0,0,0,0,0,0,0,0,0,0
Smith,0,0,0,0,0,2,A%20Civil%20Society?%20Collective%20actors%20in%20Canadian%20political%20life,0,0,0,0,0,0,0,0,0,0
Smith,0,0,0,0,0,2,A%20Civil%20Society?%20Collective%20actors%20in%20Canadian%20political%20life,0,0,0,0,0,0,0,0,0,0
Smith,0,0,0,0,0,2,A%20Civil%20Society?%20Collective%20actors%20in%20Canadian%20political%20life,0,0,0,0,0,0,0,0,0,0
Smith,0,0,0,0,0,2,A%20Civil%20Society?%20Collective%20actors%20in%20Canadian%20political%20life,0,0,0,0,0,0,0,0,0,0
Milloy,0,0,0,0,0,2,A%20National%20Crime,0,0,0,0,0,0,0,0,0,0
Clarke,Kornberg,Wearing,0,0,0,2,A%20Polity%20on%20the%20Edge:%20Canada%20and%20the%20Politics%20of%20Fragmentation,0,0,0,0,0,0,0,0,0,0
Clarke,Kornberg,Wearing,0,0,0,2,A%20Polity%20on%20the%20Edge:%20Canada%20and%20the%20Politics%20of%20Fragmentation,0,0,0,0,0,0,0,0,0,0
Clarke,Kornberg,Wearing,0,0,0,2,A%20Polity%20on%20the%20Edge:%20Canada%20and%20the%20Politics%20of%20Fragmentation,0,0,0,0,0,0,0,0,0,0
Anderson,0,0,0,0,0,2,A%20Recognition%20of%20Being:%20Reconstructing%20Native%20Womanhood,0,0,0,0,0,0,0,0,0,0
Whitaker,0,0,0,0,0,2,A%20Sovereign%20Idea:%20Essays%20on%20Canada%20as%20a%20Democratic%20Community,0,0,0,0,0,0,0,0,0,0
Hart,0,0,0,0,0,2,A%20Trading%20Nation:%20Canadian%20Trade%20Policy%20from%20Colonialism%20to%20Globalization,0,0,0,0,0,0,0,0,0,0
Asch,0,0,0,0,0,2,Aboriginal%20and%20Treaty%20Rights%20in%20Canada.,0,0,0,0,0,0,0,0,0,0
White,Beavon,Maxim,Cooke,Kerr,MacCon,2,Aboriginal%20Conditions:%20Research%20as%20a%20Foundation%20for%20Public%20Policy,0,0,0,0,0,0,0,0,0,0
Tennant,0,0,0,0,0,2,Aboriginal%20Peoples%20and%20Politics,0,0,0,0,0,0,0,0,0,0
Belanger,0,0,0,0,0,2,Aboriginal%20Self-Government%20in%20Canada:%20Current%20Trends%20and%20Issues,0,0,0,0,0,0,0,0,0,0
Clarke,Jenson,Leduc,Pammett,0,0,2,Absent%20Mandate:%20Canadian%20Electoral%20Politics%20in%20an%20Era%20of%20Restructuring,0,0,0,0,0,0,0,0,0,0
Clarke,Jenson,Leduc,Pammett,0,0,2,Absent%20Mandate:%20Canadian%20Electoral%20Politics%20in%20an%20Era%20of%20Restructuring,0,0,0,0,0,0,0,0,0,0
Clarke,Jenson,Leduc,Pammett,0,0,2,Absent%20Mandate:%20Canadian%20Electoral%20Politics%20in%20an%20Era%20of%20Restructuring,0,0,0,0,0,0,0,0,0,0
